[2026-02-16T18:15:09.688Z] AUTH FAILED: No token or Bearer header
[2026-02-17T08:33:23.829Z] AUTH SUCCESS: Role: admin | Path: /api/expenses?salonId=698e18ecd9924bc0f55ddf63
[2026-02-17T08:33:23.861Z] AUTH SUCCESS: Role: admin | Path: /api/expenses/summary?salonId=698e18ecd9924bc0f55ddf63
[2026-02-17T08:33:23.863Z] AUTH SUCCESS: Role: admin | Path: /api/expenses?salonId=698e18ecd9924bc0f55ddf63
[2026-02-17T08:33:46.150Z] AUTH SUCCESS: Role: admin | Path: /api/categories?salonId=698e18ecd9924bc0f55ddf63
[2026-02-17T08:33:46.152Z] AUTH SUCCESS: Role: admin | Path: /api/staff?salonId=698e18ecd9924bc0f55ddf63
[2026-02-17T08:33:46.158Z] AUTH SUCCESS: Role: admin | Path: /api/categories?salonId=698e18ecd9924bc0f55ddf63
[2026-02-17T08:33:46.167Z] AUTH SUCCESS: Role: admin | Path: /api/services?salonId=698e18ecd9924bc0f55ddf63
[2026-02-17T08:33:46.172Z] AUTH SUCCESS: Role: admin | Path: /api/staff?salonId=698e18ecd9924bc0f55ddf63
[2026-02-17T08:33:46.183Z] AUTH SUCCESS: Role: admin | Path: /api/services?salonId=698e18ecd9924bc0f55ddf63
[2026-02-17T08:33:49.844Z] AUTH SUCCESS: Role: admin | Path: /api/appointments
[2026-02-17T08:33:49.861Z] AUTH SUCCESS: Role: admin | Path: /api/appointments
[2026-02-17T08:33:57.140Z] AUTH SUCCESS: Role: admin | Path: /api/attendance?date=2026-02-17&salonId=698e18ecd9924bc0f55ddf63
[2026-02-17T08:33:57.185Z] AUTH SUCCESS: Role: admin | Path: /api/attendance?date=2026-02-17&salonId=698e18ecd9924bc0f55ddf63
[2026-02-17T08:35:18.254Z] AUTH SUCCESS: Role: admin | Path: /api/attendance?date=2026-02-17&salonId=698e18ecd9924bc0f55ddf63
[2026-02-17T08:35:18.271Z] AUTH SUCCESS: Role: admin | Path: /api/attendance?date=2026-02-17&salonId=698e18ecd9924bc0f55ddf63
[2026-02-17T08:35:32.223Z] AUTH SUCCESS: Role: admin | Path: /api/attendance?date=2026-02-17&salonId=698e18ecd9924bc0f55ddf63
[2026-02-17T08:35:32.229Z] AUTH SUCCESS: Role: admin | Path: /api/attendance?date=2026-02-17&salonId=698e18ecd9924bc0f55ddf63
[2026-02-17T08:38:17.031Z] AUTH SUCCESS: Role: admin | Path: /api/attendance?date=2026-02-12&salonId=698e18ecd9924bc0f55ddf63
[2026-02-17T08:38:22.947Z] AUTH SUCCESS: Role: admin | Path: /api/attendance?date=2026-02-10&salonId=698e18ecd9924bc0f55ddf63
[2026-02-17T08:38:26.728Z] AUTH SUCCESS: Role: admin | Path: /api/attendance?date=2026-02-13&salonId=698e18ecd9924bc0f55ddf63
[2026-02-17T08:38:30.013Z] AUTH SUCCESS: Role: admin | Path: /api/attendance?date=2026-02-14&salonId=698e18ecd9924bc0f55ddf63
[2026-02-17T08:38:34.899Z] AUTH SUCCESS: Role: admin | Path: /api/attendance?date=2026-02-15&salonId=698e18ecd9924bc0f55ddf63
[2026-02-17T08:38:40.522Z] AUTH SUCCESS: Role: admin | Path: /api/attendance?date=2026-02-12&salonId=698e18ecd9924bc0f55ddf63
[2026-02-17T08:38:44.791Z] AUTH SUCCESS: Role: admin | Path: /api/attendance?date=2026-02-17&salonId=698e18ebd9924bc0f55ddf3d
